Type,ID_A,ID_B,Title_A,Title_B,Similarity_%,Match_Type,Level,Paragraph_Count
Section,section_153,section_167,（スマートエントリー＆スタートシステム非装着車）,（スマートエントリー＆スタートシステム非装着車）,0.0,exact,4,0
Section,section_158,section_172,（スマートエントリー＆スタートシステム装着車）,（スマートエントリー＆スタートシステム装着車）,0.0,exact,4,0
Section,section_170,section_184,トランスミッション,トランスミッション,0.0,exact,1,1
Section,section_172,section_186,シフトポジションの使用目的,シフトポジションの使用目的,0.0,exact,2,0
Section,section_173,section_187,目的および状態,目的および状態,0.0,exact,2,1
Section,section_174,section_188,方向指示レバー,方向指示レバー,0.0,exact,1,0
Section,section_196,section_210,2 マルチインフォメーションディスプレイ装着車,2 マルチインフォメーションディスプレイ装着車,0.0,exact,2,1
Section,section_207,section_228,先行車発進告知機能,先行車発進告知機能,0.0,exact,1,1
Section,section_224,section_253,室内装備・機能,室内装備・機能,0.0,exact,4,0
Section,section_229,section_259,2 温湿度環境風量・風向きによってはナノイーの効果が十分に得られな,2 温湿度環境風量・風向きによってはナノイーの効果が十分に得られな,0.0,exact,2,0
Section,section_239,section_270,4 kg 以上のものをフックに吊り下げないでください,4 kg 以上のものをフックに吊り下げないでください,0.0,exact,2,1
Section,section_254,section_288,16 6J,16 6J,0.0,exact,2,0
Section,section_255,section_292,16 4T,16 4T,0.0,exact,2,1
Section,section_256,section_293,420 (4.2),420 (4.2),0.0,exact,2,1
Section,section_268,section_305,カバーを取り付ける6,カバーを取り付ける6,0.0,exact,6,0
Section,section_271,section_308,取り付けるときは、取りはずしたときと逆の手順で取り付ける3,取り付けるときは、取りはずしたときと逆の手順で取り付ける3,0.0,exact,6,0
Section,section_272,section_309,車幅灯,車幅灯,0.0,exact,6,0
Section,section_275,section_312,取り付けるときは、取りはずしたときと逆の手順で取り付ける3,取り付けるときは、取りはずしたときと逆の手順で取り付ける3,0.0,exact,6,0
Section,section_281,section_318,2 本を取り付ける,2 本を取り付ける,0.0,exact,2,0
Section,section_286,section_323,新しい電球を取り付ける3,新しい電球を取り付ける3,0.0,exact,6,0
Section,section_287,section_324,レンズを取り付ける4,レンズを取り付ける4,0.0,exact,6,0
Section,section_288,section_325,万一の場合には,万一の場合には,0.0,exact,4,0
Section,section_292,section_329,発炎筒,発炎筒,0.0,exact,1,1
Section,section_293,section_330,13,13,0.0,exact,6,0
Section,section_294,section_331,2 秒以上押すまたは,2 秒以上押すまたは,0.0,exact,2,1
Section,section_296,section_378,14,14,0.0,exact,6,0
Section,section_300,section_339,5 m 以内,5 m 以内,0.0,exact,2,0
Section,section_308,section_347,3 パーキングブレーキ走行時警告ブザー,3 パーキングブレーキ走行時警告ブザー,0.0,exact,2,0
Section,section_310,section_349,5 半ドア走行時警告ブザー,5 半ドア走行時警告ブザー,0.0,exact,2,0
Section,section_315,section_355,3 回点滅,3 回点滅,0.0,exact,2,0
Section,section_318,section_358,1 回,1 回,0.0,exact,2,0
Section,section_319,section_359,3 回,3 回,0.0,exact,2,0
Section,section_320,section_360,5 秒,5 秒,0.0,exact,2,0
Section,section_322,section_362,5 秒,5 秒,0.0,exact,2,0
Section,section_323,section_366,1 回,1 回,0.0,exact,2,0
Section,section_324,section_364,5 秒,5 秒,0.0,exact,2,0
Section,section_332,section_372,611,611,0.0,exact,6,0
Section,section_334,section_374,13,13,0.0,exact,6,0
Section,section_343,section_383,19,19,0.0,exact,6,0
Section,section_345,section_385,621,621,0.0,exact,6,0
Section,section_353,section_392,40 分以上連続で作動させないでください,40 分以上連続で作動させないでください,0.0,exact,2,0
Section,section_354,section_393,パンクしたときは（応急用タイヤ装着車）,パンクしたときは（応急用タイヤ装着車）,0.0,exact,1,1
Section,section_355,section_399,ジャッキはタイヤ交換・タイヤチェーン取り付け・取りはずし以外の目的で使,ジャッキはタイヤ交換・タイヤチェーン取り付け・取りはずし以外の目的で使,0.0,exact,2,0
Section,section_358,section_402,後輪を応急用タイヤと交換する1,後輪を応急用タイヤと交換する1,0.0,exact,6,0
Section,section_364,section_409,シフトレバーがP の位置にあることを確認する2,シフトレバーがP の位置にあることを確認する2,0.0,exact,6,0
Section,section_367,section_412,電子キーが正常に働かないときは（スマートエン,電子キーが正常に働かないときは（スマートエン,0.0,exact,1,1
Section,section_371,section_416,ブレーキペダルをしっかりと踏み込んで、マルチインフォメーション3,ブレーキペダルをしっかりと踏み込んで、マルチインフォメーション3,0.0,exact,6,0
Section,section_374,section_419,補機バッテリーがあがったときは,補機バッテリーがあがったときは,0.0,exact,1,2
Section,section_381,section_427,メンテナンスデータ( 指定燃料、オイル量など),メンテナンスデータ( 指定燃料、オイル量など),0.0,exact,1,1
Section,section_382,section_428,1 エンジンオイルの容量は交換する際の目安ですオイル量の確認はエンジ,1 エンジンオイルの容量は交換する際の目安ですオイル量の確認はエンジ,0.0,exact,2,0
Section,section_383,section_429,2 0W-16 は上記表の指定銘柄の中では最も省燃費性に優れるオイルです,2 0W-16 は上記表の指定銘柄の中では最も省燃費性に優れるオイルです,0.0,exact,2,0
Section,section_401,section_452,1 LED はLight Emitting Diodes発光ダイオードの略で半導体発光,1 LED はLight Emitting Diodes発光ダイオードの略で半導体発光,0.0,exact,2,0
Section,section_412,section_460,1 スマートエントリースタートシステム非装着車,1 スマートエントリースタートシステム非装着車,0.0,exact,2,0
Section,section_435,section_489,装着車）が表示されたとき,装着車）が表示されたとき,0.0,exact,6,0
Section,section_437,section_491,立ち往生した,立ち往生した,0.0,exact,6,0
Section,section_438,section_492,車から音が鳴ったときは（音さくいん）,車から音が鳴ったときは（音さくいん）,0.0,exact,1,1
Section,section_451,section_504,五十音順さくいん,五十音順さくいん,0.0,exact,1,5
Section,section_62,section_78,1 作動確認のためにパワースイッチをONスマートエントリースタート,1 作動確認のためにパワースイッチをONスマートエントリースタート,0.0,exact,2,0
Section,section_63,section_79,2 システムがＯＦＦのときに点灯します,2 システムがＯＦＦのときに点灯します,0.0,exact,2,0
Section,section_213,section_240,運転を補助する装置,運転を補助する装置,0.0,exact,1,2
Section,section_217,section_244,4 輪とも指定されたサイズで同じメーカー・ブランド・トレッドパターン溝,4 輪とも指定されたサイズで同じメーカー・ブランド・トレッドパターン溝,0.0,exact,2,1
Section,section_329,section_369,2 本以上のタイヤがパンクしているとき,2 本以上のタイヤがパンクしているとき,0.0,exact,2,0
